epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.255,1.44152,1.7556,1.42437,0.79112,0.73988,0.82863,0.4543,1.52164,1.82505,1.5647,0.00066,0.00066,0.00066
2,38.1356,1.44788,1.39451,1.4113,0.8413,0.84393,0.89027,0.48852,1.49531,1.22401,1.49717,0.0013201,0.0013201,0.0013201
3,55.619,1.49928,1.31713,1.45876,0.84753,0.87283,0.89884,0.41345,1.68565,1.23035,1.61724,0.0019736,0.0019736,0.0019736
4,73.1851,1.49171,1.21287,1.45934,0.851,0.80347,0.84572,0.45564,1.5246,1.19611,1.52057,0.0019703,0.0019703,0.0019703
5,97.0626,1.45619,1.0603,1.3816,0.92179,0.88561,0.93801,0.48241,1.58053,0.94538,1.52048,0.0019604,0.0019604,0.0019604
6,131.662,1.47143,1.02172,1.42179,0.89652,0.85136,0.88928,0.46153,1.58665,1.00499,1.59346,0.0019505,0.0019505,0.0019505
7,158.602,1.42524,0.96229,1.39575,0.90001,0.9422,0.9572,0.51943,1.48977,0.79392,1.48538,0.0019406,0.0019406,0.0019406
8,184.454,1.44218,0.93885,1.39613,0.91879,0.91558,0.94801,0.5104,1.53169,0.80113,1.53707,0.0019307,0.0019307,0.0019307
9,206.649,1.41641,0.89689,1.38287,0.95808,0.92482,0.95499,0.53696,1.41961,0.71965,1.41657,0.0019208,0.0019208,0.0019208
10,228.512,1.416,0.8942,1.38271,0.95202,0.91762,0.9444,0.51851,1.48811,0.75033,1.48997,0.0019109,0.0019109,0.0019109
11,248.572,1.42539,0.89247,1.39528,0.92375,0.9422,0.95858,0.55539,1.41543,0.69688,1.42892,0.001901,0.001901,0.001901
12,267.179,1.39608,0.8494,1.36174,0.94191,0.93642,0.94791,0.55807,1.38188,0.73618,1.41873,0.0018911,0.0018911,0.0018911
13,284.896,1.36313,0.82866,1.35939,0.90694,0.95767,0.94526,0.53671,1.43028,0.74594,1.44354,0.0018812,0.0018812,0.0018812
14,302.538,1.37954,0.8305,1.35804,0.91373,0.93064,0.95942,0.57495,1.36999,0.69857,1.3907,0.0018713,0.0018713,0.0018713
15,320.041,1.37408,0.81117,1.35891,0.97512,0.91908,0.96009,0.53862,1.42779,0.66247,1.43123,0.0018614,0.0018614,0.0018614
16,337.689,1.34792,0.79253,1.34367,0.9462,0.91502,0.94809,0.55274,1.39757,0.67136,1.4127,0.0018515,0.0018515,0.0018515
17,355.205,1.37415,0.80856,1.35439,0.9471,0.91908,0.96187,0.53917,1.47768,0.72054,1.44303,0.0018416,0.0018416,0.0018416
18,372.828,1.3467,0.76718,1.33625,0.95118,0.93642,0.9584,0.55709,1.37167,0.69641,1.38812,0.0018317,0.0018317,0.0018317
19,390.66,1.34563,0.77006,1.32532,0.94847,0.95762,0.95215,0.56024,1.32691,0.67675,1.35297,0.0018218,0.0018218,0.0018218
20,408.038,1.33388,0.75105,1.31365,0.92434,0.918,0.96367,0.55574,1.42754,0.69231,1.4344,0.0018119,0.0018119,0.0018119
21,425.876,1.33761,0.76672,1.34178,0.96119,0.93064,0.95725,0.56831,1.35394,0.64171,1.39088,0.001802,0.001802,0.001802
22,443.852,1.33912,0.75074,1.34078,0.93069,0.9711,0.96862,0.59211,1.33034,0.62749,1.36427,0.0017921,0.0017921,0.0017921
23,462.172,1.3446,0.74456,1.34156,0.95358,0.94999,0.96339,0.5687,1.38272,0.6346,1.38363,0.0017822,0.0017822,0.0017822
24,480.802,1.31833,0.72763,1.32107,0.9344,0.92486,0.96521,0.57879,1.35411,0.61855,1.3809,0.0017723,0.0017723,0.0017723
